"","file_id","Analysis","file_datetime","Preparation","Identifier 1","Identifier 2","MS_integration_time.s","Method","type","cycle","v44.mV","v45.mV","v46.mV","v47.mV","v48.mV","v49.mV","v54.mV","r45o44","r46o44","r47o44","r48o44","r49o44","logr45o44","logr46o44","logr47o44","logr48o44"
"1","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",1,12743.9566133984,14981.9019260785,17921.9848309497,20260.1057588148,1708.82154985392,-120.904356007113,-175.50225998933,1.17560835936362,1.40631244868704,1.58978144491752,0.134088776483854,-0.00948719143315347,0.161785766258351,0.340970993939816,0.46359655075748,-2.00925318732127
"2","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",2,12699.0743158826,14928.8140557985,17858.6648299833,20193.4677005103,1703.82201897782,-120.509526489887,-174.941659170035,1.17558285623443,1.40629658396815,1.59015273068011,0.134168993471191,-0.00948963077876997,0.161764072464141,0.340959712799279,0.463830068650472,-2.00865512829959
"3","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",3,12650.7349489697,14872.1749820318,17790.9539535185,20117.0346776933,1696.53462341525,-120.246907439434,-174.541220848641,1.17559770574776,1.40631781673423,1.59018703331,0.13410561759919,-0.00950513214643126,0.161776704002161,0.340974811041022,0.463851640326732,-2.00912759845193
"4","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",4,12602.2565045524,14815.2076028566,17722.8655809701,20040.9791509599,1689.5964720572,-120.15262963222,-173.367798241107,1.17559959182745,1.40632477799257,1.59026910329276,0.134070947647102,-0.00953421552630802,0.161778308358963,0.340979761018211,0.463903249265359,-2.00938615909274
"5","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",5,12552.8442540336,14756.9539966961,17652.9294644336,19957.8108032833,1681.41914576929,-119.083397628873,-173.182779101458,1.17558648048662,1.40628921280221,1.58990348317834,0.133947264201019,-0.00948656696593746,0.161767155400058,0.340954471241171,0.463673311986117,-2.0103091072313
"6","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",6,12503.2010516338,14698.4818401715,17583.2516346912,19880.7419975887,1675.02159886692,-119.543972916537,-172.402382079679,1.17557750047144,1.40629999966238,1.59005217267869,0.13396742097881,-0.0095610693951783,0.161759516617513,0.340962141653984,0.463766828699269,-2.0101586356152
"7","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",7,12453.225024399,14639.5924511334,17512.6797352771,19802.1632075598,1668.74532973836,-119.536367483348,-171.527607217153,1.17556636312688,1.40627666335149,1.5901232948704,0.134001058076833,-0.00959882819503751,0.161750042637864,0.340945547396347,0.463811557169409,-2.00990758296663
"8","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",8,12403.1372545728,14580.7681516321,17442.8826962451,19721.5181231787,1662.31216576508,-118.614100358701,-172.188448027268,1.17557097469485,1.40632828116244,1.59004272212725,0.134023524181531,-0.00956323371451608,0.161753965478013,0.340982252025666,0.463760885133587,-2.00973994084544
"9","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",9,12353.1763038089,14522.0719598512,17371.9531689624,19640.5948837887,1656.19275556814,-119.653039628163,-170.627015084196,1.17557392549911,1.40627420363183,1.58992265638861,0.134070194971433,-0.00968601408135576,0.161756475577892,0.340943798294003,0.463685371268246,-2.00939177311871
"10","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",10,12303.299474574,14463.4408576072,17301.8779749215,19559.3934893897,1648.83536651501,-117.45644328606,-170.31540101007,1.17557415289267,1.40627951149832,1.58976813738551,0.134015706105708,-0.00954674341860857,0.161756669009826,0.340947572704756,0.463588180054861,-2.00979827615566
"11","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",11,12253.0527590283,14404.4719957094,17231.4451530119,19483.2783580115,1643.19485407831,-118.145987766852,-169.818409349534,1.17558230418096,1.40629812764949,1.59007544823112,0.13410493583875,-0.00964216755533019,0.161763602864236,0.340960810491262,0.463781466824026,-2.00913268222236
"12","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",12,12202.2099970349,14344.3507773459,17159.4824785531,19402.3352504065,1635.27152525198,-117.335053072757,-169.482946687118,1.17555350881779,1.40626021701993,1.59006731199686,0.134014373269215,-0.00961588540938641,0.161739108011146,0.340933852380594,0.463776349925276,-2.00980822158042
"13","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",13,12151.1962235032,14284.5077139915,17087.5228971123,19323.6173828731,1628.78636429282,-117.320285445028,-167.845881440628,1.17556390755685,1.40624203434894,1.5902646148942,0.134043293708184,-0.00965503998841723,0.161747953795693,0.340920922491572,0.463900426846884,-2.0095924438382
"14","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",14,12100.8821009168,14225.5984567384,17017.1465868295,19239.9721980383,1622.36085700116,-116.629105517269,-168.153039018569,1.17558359284078,1.40627323239024,1.58996443710337,0.134069635872103,-0.00963806642727587,0.161764699052153,0.340943107644966,0.46371164938035,-2.00939594332594
"15","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",15,12050.933408595,14166.2322305422,16946.7932377796,19164.711399902,1615.60571546426,-117.343992894117,-166.963800293167,1.17552987392981,1.40626395177761,1.5903092939036,0.134064778277837,-0.00973733642992538,0.161719002481789,0.340936508185454,0.46392852178238,-2.00943217585717
"16","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",16,12001.1833984225,14108.0978336712,16876.6219968128,19080.7085871985,1606.97114752347,-115.630468429662,-166.419227259303,1.17555888992795,1.40624648724485,1.58990225828118,0.133901057435278,-0.00963492220649349,0.161743685512551,0.340924089008254,0.463672541563481,-2.01065412911471
"17","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",17,11951.2943107455,14049.3733820221,16806.5435086231,19000.6396810502,1601.52326796945,-116.69819679537,-166.046700905763,1.17555245622144,1.40625300253147,1.58983949244449,0.134004169450459,-0.00976448188464798,0.161738212605862,0.340928722101804,0.463633062988411,-2.00988436421336
"18","34842__Yellowstone_0.did","34842",2019-08-12 07:22:19,"A","Yellowstone","0",5,"LISI MV.met","sample",18,11901.0158997565,13990.3251035775,16735.713322415,18922.0608910213,1594.36287072114,-115.265531530151,-165.213193566803,1.17555721473019,1.40624241353693,1.58995341661618,0.133968636303877,-0.00968535228429606,0.161742260489129,0.340921192137857,0.463704718077279,-2.0101495638607
